Coin,Date,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P0,P1,P2,P3,P4,P5,R_T1W
ETH,07/01/2020,0.527582656,0.743923698,0.678121758,0.635356414,0.375077162,0.879873847,0.734278139,0.539549387,0.726822202,0.809245025,0.063289978,0.612850046,0.320098235,0.985770198,0.436876893,0.183038044,0.733680921,0.01004863
BNB,07/01/2020,0.81810039,0.375046898,0.416154943,0.235748994,0.072895209,0.337304516,0.245465128,0.7985637,0.353683075,0.159437165,0.357672823,0.076559861,0.478525441,0.414904434,0.300508685,0.646231766,0.794646998,0.064334922
ADA,07/01/2020,0.818474285,0.22618516,0.32500858,0.585133796,0.724941965,0.501901652,0.465324837,0.59352801,0.281156804,0.705152132,0.681664345,0.489097213,0.583584073,0.223447019,0.775049863,0.142374004,0.342612661,0.081679515
XRP,07/01/2020,0.797879985,0.017648917,0.536444168,0.115577267,0.956606935,0.466424737,0.103511262,0.522894677,0.004842519,0.278423133,0.067433013,0.126142151,0.938323574,0.72658498,0.346641647,0.544999692,0.106991341,0.063922968
BTC,08/01/2020,0.997519861,0.592301376,0.837082909,0.392992319,0.040922643,0.106981709,0.773895954,0.180393861,0.280874763,0.162503819,0.814302975,0.575685121,0.940154057,0.79580839,0.406841509,0.715531619,0.6745752,0.015212245
ETH,08/01/2020,0.157007998,0.474264034,0.943005675,0.165829393,0.445950243,0.251659607,0.98743681,0.684866836,0.797418767,0.491693102,0.678145567,0.572290058,0.994521628,0.482735467,0.629793294,0.48879169,0.61886412,0.017979744
BNB,08/01/2020,0.370787788,0.526426399,0.24115193,0.669057916,0.397743375,0.590599175,0.244425073,0.237252414,0.717383907,0.957628768,0.375889962,0.728267176,0.089421629,0.871913949,0.862203918,0.880764087,0.521378146,0.032811222
ADA,08/01/2020,0.091070108,0.686241879,0.403448103,0.770944457,0.49597508,0.515712272,0.421617725,0.073438497,0.581448696,0.73221814,0.580472769,0.688146796,0.714897983,0.433265055,0.813770675,0.824726183,0.984768964,0.088373525
XRP,08/01/2020,0.344605913,0.422697217,0.673284403,0.787047706,0.584167048,0.015876093,0.339205609,0.099824832,0.987080736,0.654868281,0.881067067,0.763960273,0.912472058,0.097101195,0.758663823,0.677225388,0.028446809,0.097228621
BTC,08/01/2020,0.059604148,0.729020926,0.088627442,0.130874187,0.904305797,0.273998917,0.953373509,0.445293956,0.270093631,0.363166147,0.647619577,0.72995644,0.331362047,0.407403106,0.944216984,0.014338444,0.566085952,0.040440242
ETH,08/01/2020,0.129097767,0.339104237,0.974151937,0.261595503,0.129222919,0.25054462,0.525746589,0.087595613,0.447633452,0.536936984,0.271334592,0.782815745,0.713541386,0.934745923,0.031589875,0.134202741,0.263697194,0.042194198
BNB,08/01/2020,0.167043312,0.366784412,0.727813326,0.640919459,0.927101945,0.449790348,0.225166184,0.027126405,0.786952312,0.782996577,0.050339748,0.670769984,0.260214289,0.967902464,0.370095618,0.680276205,0.574957593,0.060737733
ADA,08/01/2020,0.534693276,0.641280996,0.71673966,0.331966643,0.672414625,0.863442477,0.936666486,0.663277693,0.475511509,0.188099062,0.829951213,0.162009958,0.886753219,0.088974373,0.704323466,0.723835798,0.751195244,0.057100646
XRP,08/01/2020,0.540609685,0.806169559,0.441328852,0.545392253,0.613376755,0.826794283,0.475513953,0.408466546,0.099530755,0.403321824,0.022279107,0.367017176,0.652748872,0.240387364,0.762463317,0.804038178,0.067030145,0.096012701
BTC,08/01/2020,0.29394352,0.130144859,0.93453429,0.936829671,0.759342792,0.454041818,0.461851898,0.366281587,0.268185778,0.394524195,0.10487033,0.412095502,0.494146118,0.788678186,0.772957726,0.004106402,0.774008865,0.093677975
ETH,08/01/2020,0.026948089,0.949165607,0.449646012,0.885678443,0.959712676,0.632079483,0.252023539,0.88790162,0.411057593,0.188725884,0.731369241,0.279352592,0.734323409,0.342482868,0.807091508,0.808394506,0.726301743,0.059882009
BNB,09/01/2020,0.457714772,0.732245263,0.56687338,0.697698066,0.333277751,0.184133109,0.728271851,0.892760465,0.443918019,0.837045265,0.42985547,0.162408194,0.379068766,0.691885892,0.534912526,0.672892595,0.177205005,0.030439832
ADA,09/01/2020,0.858345763,0.661916135,0.39101255,0.476299463,0.093219312,0.538720863,0.713869912,0.702886811,0.378286403,0.697892781,0.866472268,0.370490113,0.309727002,0.414836889,0.700295489,0.237507575,0.682659996,0.090203774
XRP,09/01/2020,0.475321578,0.214859507,0.862884389,0.584267405,0.202394695,0.288634533,0.692553642,0.783224613,0.605947414,0.953983596,0.489144038,0.759811015,0.766967778,0.018969121,0.319298965,0.070176925,0.764965456,0.09780578
BTC,09/01/2020,0.857197059,0.919415982,0.345035661,0.183449744,0.515706526,0.541151948,0.016590135,0.549429583,0.535871327,0.688445656,0.528321589,0.684762904,0.969592465,0.39470032,0.431974972,0.769655193,0.500992197,0.083961145
ETH,09/01/2020,0.773552858,0.223582111,0.337796414,0.903694514,0.729312399,0.617047119,0.842273905,0.422644424,0.958763516,0.446725235,0.688305259,0.84722753,0.912401519,0.23295118,0.807239006,0.977249658,0.251806962,0.005294836
BNB,09/01/2020,0.746986661,0.175323072,0.990987697,0.281586623,0.333406877,0.68991071,0.14108491,0.660976053,0.582017775,0.451363416,0.384785488,0.091118742,0.829876283,0.578157377,0.072741485,0.700207981,0.531138594,0.019437164
ADA,09/01/2020,0.958618688,0.891466082,0.519944658,0.718050261,0.287232182,0.661013496,0.066951466,0.20745744,0.37504492,0.481148763,0.52276667,0.696178067,0.44210323,0.190352737,0.078364454,0.395287364,0.838676373,0.089167236
XRP,09/01/2020,0.525005272,0.498877811,0.05146684,0.240371136,0.378733245,0.994540867,0.599448693,0.699074715,0.714464923,0.449078293,0.078925336,0.819898413,0.269848293,0.988841713,0.547494467,0.448994034,0.123601661,0.098147547
BTC,09/01/2020,0.993504672,0.225380843,0.184239378,0.472873035,0.605847743,0.143672103,0.159633766,0.002955286,0.5496267,0.820170981,0.532872948,0.28574276,0.320620331,0.817508135,0.566886356,0.566272972,0.303129596,0.04448425
ETH,09/01/2020,0.197151562,0.809226693,0.970593614,0.419638958,0.420026685,0.059397312,0.75555898,0.935516668,0.380105789,0.181987359,0.522642229,0.259297768,0.979621386,0.97898758,0.413996877,0.939280037,0.898578024,0.043235237
BNB,09/01/2020,0.116185922,0.538187585,0.546993646,0.963722577,0.212843677,0.877479548,0.078415931,0.1339358,0.734838099,0.506947995,0.196348064,0.7120484,0.945895139,0.891312546,0.481031097,0.849328614,0.001858367,0.007711887
ADA,09/01/2020,0.024566372,0.043478189,0.717694296,0.596286007,0.726378286,0.780037296,0.451140636,0.040073312,0.407870747,0.18932624,0.153446846,0.557924071,0.283940866,0.479891052,0.382312721,0.104223718,0.573791964,0.005660722
XRP,09/01/2020,0.102217639,0.189508977,0.74309987,0.620897191,0.902381787,0.974422318,0.945315875,0.001663299,0.274161061,0.072659937,0.899710143,0.940985223,0.970360318,0.239446846,0.301103913,0.505256085,0.498773565,0.062102652
BTC,09/01/2020,0.971623603,0.307937861,0.289458399,0.229747463,0.544576543,0.269037153,0.599796805,0.832223095,0.14770281,0.511312587,0.440072905,0.764069196,0.109870694,0.521088572,0.779514514,0.825453409,0.604339448,0.075232647
ETH,10/01/2020,0.66464971,0.759292263,0.225931507,0.992826643,0.156641935,0.935034832,0.833220567,0.48881462,0.64116566,0.796791099,0.730987594,0.141585186,0.72955201,0.693616564,0.435526382,0.079281459,0.763806801,0.021798435
BNB,10/01/2020,0.133042257,0.009667679,0.187104994,0.348394283,0.749802183,0.509410393,0.97976109,0.133718189,0.326372543,0.939591067,0.946626732,0.932275447,0.95469143,0.675061832,0.63065827,0.571392609,0.988280225,0.012039297
ADA,10/01/2020,0.029985492,0.258616959,0.39476957,0.228101978,0.608542347,0.917153604,0.961686778,0.677949953,0.427123547,0.701951307,0.288097724,0.32073416,0.249007391,0.98263773,0.02695639,0.537026882,0.455501126,0.013267435
XRP,10/01/2020,0.773871424,0.511294847,0.095542996,0.837898018,0.6101598,0.8635136,0.237060831,0.518472667,0.543198966,0.926796715,0.783180835,0.499385708,0.478280804,0.436401662,0.731026953,0.1339368,0.192772499,0.009349713
BTC,10/01/2020,0.702924676,0.046860352,0.849207303,0.799598453,0.689343632,0.430955575,0.969725881,0.684077232,0.584910393,0.736184898,0.866920282,0.685699012,0.057709969,0.48524047,0.061946585,0.369266261,0.186481896,0.06576962
ETH,13/01/2020,0.47722159,0.419749028,0.839321505,0.991049288,0.146761851,0.014809986,0.057396626,0.54220531,0.826591978,0.372247254,0.762439187,0.134327322,0.675699567,0.366767818,0.062010772,0.840987004,0.477577221,0.006880353
BNB,13/01/2020,0.012492199,0.319912895,0.23264466,0.434104016,0.025749011,0.629832774,0.020600317,0.077257865,0.041846716,0.035569015,0.981879456,0.594325515,0.464976158,0.730366807,0.956039219,0.459482543,0.892996802,0.028063007
ADA,13/01/2020,0.238660374,0.568761067,0.671896981,0.248028059,0.319379239,0.344288032,0.018938806,0.494857782,0.960750085,0.337703038,0.446847093,0.336632555,0.856698898,0.768181801,0.743783525,0.015056793,0.370692013,0.046403684
XRP,13/01/2020,0.864914657,0.824460768,0.625063978,0.169593559,0.649992638,0.100535524,0.798298654,0.235552412,0.653995023,0.197207571,0.158863941,0.603199183,0.645044737,0.765585496,0.127538115,0.471687225,0.559065205,0.059002224
BTC,13/01/2020,0.793796224,0.915223577,0.268602271,0.626203968,0.048818647,0.421430566,0.607435212,0.196852708,0.514352206,0.376085249,0.693811412,0.107846759,0.016503305,0.840611949,0.681549424,0.210299996,0.888557557,0.014893609
ETH,13/01/2020,0.69438372,0.760114673,0.9016699,0.484936352,0.092665643,0.661921564,0.50737498,0.094088263,0.935675085,0.735645051,0.698231726,0.485386521,0.41837112,0.22402094,0.623884541,0.716137208,0.59156227,0.098341229
BNB,13/01/2020,0.77289664,0.743396889,0.1172785,0.020202443,0.820473863,0.873264106,0.236332599,0.205848585,0.888233528,0.457118809,0.203850877,0.045977932,0.144408288,0.067100529,0.468545845,0.120196346,0.304319327,0.089643163
ADA,13/01/2020,0.172801596,0.721412572,0.091604729,0.635359284,0.761351623,0.500609683,0.879637955,0.017990516,0.568045756,0.784189455,0.659712628,0.217971768,0.595569609,0.140599728,0.457310885,0.874035882,0.731449554,0.098134305
XRP,14/01/2020,0.6444863,0.972186374,0.217289455,0.049094714,0.365497955,0.268063049,0.157706087,0.687527673,0.536336473,0.898398492,0.220913142,0.532917362,0.56870898,0.707933555,0.795987434,0.070347607,0.459518021,0.090214798
BTC,14/01/2020,0.714705844,0.246373032,0.817168944,0.924633066,0.509205471,0.294009481,0.174433533,0.951730138,0.014587707,0.782955583,0.702169276,0.671489043,0.556030577,0.90351054,0.26809759,0.62193473,0.516952689,0.080902163
ETH,14/01/2020,0.441184838,0.685787893,0.953267557,0.952482145,0.436748962,0.907877016,0.405364676,0.072882048,0.639297571,0.812434445,0.683468082,0.960597834,0.457006625,0.282038072,0.275652253,0.269952004,0.69111143,0.091174318
BNB,14/01/2020,0.211037268,0.934863073,0.211835376,0.497309663,0.703867365,0.584984611,0.343232294,0.755740817,0.648847023,0.800920657,0.494719504,0.244325022,0.192274535,0.474288844,0.792531792,0.972440552,0.859101764,0.061341025
ADA,14/01/2020,0.277522631,0.590566085,0.107594993,0.933388022,0.169854127,0.070302907,0.346945888,0.292699843,0.49591036,0.436760771,0.671256842,0.631901291,0.537620609,0.805036698,0.245971404,0.885283572,0.64269138,0.033346042
XRP,14/01/2020,0.987721602,0.771705286,0.034845104,0.988066414,0.77627905,0.075420367,0.779310224,0.609195773,0.814934682,0.211832992,0.910227819,0.325367952,0.618360118,0.639418949,0.577444222,0.332237199,0.594651476,0.017164748
BTC,14/01/2020,0.686111842,0.600203374,0.828602241,0.402688053,0.5007437,0.609608851,0.768392372,0.262639789,0.827766566,0.66440393,0.665843527,0.507456179,0.026460273,0.431915561,0.179806892,0.541225148,0.401781982,0.073485446
ETH,14/01/2020,0.763380612,0.340272561,0.167089356,0.29122429,0.880595023,0.001518201,0.85384925,0.803401741,0.004433293,0.288759147,0.060224419,0.11585962,0.348296202,0.092800866,0.004094443,0.488671093,0.132851863,0.001319308
BNB,14/01/2020,0.440927455,0.065992825,0.946692251,0.559170361,0.933309879,0.716260201,0.49719234,0.520876781,0.06811008,0.482414856,0.670835826,0.110113076,0.37098076,0.823752763,0.624671239,0.37388376,0.407511667,0.09750644
ADA,14/01/2020,0.696720098,0.397646013,0.193688151,0.672916721,0.275607798,0.56541745,0.6940821,0.462225482,0.956062484,0.06512064,0.199575682,0.099096148,0.434574146,0.190066309,0.702359798,0.199426441,0.168749379,0.049645939
XRP,14/01/2020,0.685326961,0.188973906,0.180911484,0.38207543,0.075005282,0.337072772,0.234615739,0.548799917,0.312120131,0.466432094,0.677680062,0.123203048,0.676810209,0.927329948,0.230822513,0.466771226,0.798916993,0.012159882
BTC,14/01/2020,0.463351733,0.45687082,0.643433442,0.085476775,0.985397837,0.493626399,0.823184408,0.312719915,0.72841729,0.819139146,0.652173468,0.777522905,0.387223353,0.620653404,0.95934653,0.66750368,0.758075583,0.028506301
ETH,14/01/2020,0.127969316,0.451738899,0.682523423,0.01129647,0.355632038,0.027638118,0.263767657,0.409991055,0.060161895,0.616775251,0.268254819,0.915099323,0.185129289,0.704299842,0.887751168,0.660370283,0.344608875,0.058879723
BNB,14/01/2020,0.310768219,0.116739986,0.910718121,0.329240688,0.533390452,0.601170899,0.009448659,0.131381116,0.621953645,0.987928251,0.064740293,0.872174038,0.994947303,0.495004372,0.923257604,0.811231133,0.396979709,0.060647027
ADA,14/01/2020,0.833620151,0.287413897,0.066259823,0.378997468,0.936915433,0.302681102,0.530936977,0.163212181,0.18578093,0.511294174,0.249408411,0.832304668,0.989165527,0.727099577,0.113732112,0.244901885,0.774676752,0.081221209
XRP,15/01/2020,0.295159808,0.849438906,0.02466085,0.795675537,0.114474426,0.686186469,0.900438519,0.347853693,0.857284858,0.578336268,0.853787869,0.646249334,0.016378893,0.149398191,0.733206804,0.980153808,0.961888837,0.095014001
BTC,15/01/2020,0.896232016,0.267140736,0.821009251,0.684890523,0.292458709,0.422584379,0.352052033,0.698227632,0.410826767,0.170968318,0.066145362,0.083972981,0.965575396,0.597608014,0.335198415,0.062301627,0.678315304,0.003342682
ETH,15/01/2020,0.635569989,0.524294444,0.72450857,0.206783389,0.685088245,0.553657089,0.466899629,0.442788086,0.29227984,0.111447906,0.076170481,0.061056203,0.130814826,0.691467924,0.390453494,0.093529166,0.953390483,0.04880186
BNB,15/01/2020,0.311300844,0.966980038,0.049691025,0.915129895,0.260114336,0.782016168,0.706122022,0.716684044,0.822761529,0.799018927,0.881183801,0.421971497,0.131520506,0.917100069,0.872246197,0.365400113,0.338348622,0.090461989
ADA,15/01/2020,0.95717297,0.600390868,0.197896989,0.85683391,0.111034003,0.617214625,0.113461915,0.80618728,0.643568143,0.096673083,0.637252215,0.014231098,0.856674394,0.914404662,0.662409275,0.819537305,0.554505547,0.09649162
XRP,15/01/2020,0.591214559,0.856149275,0.84401188,0.144934145,0.18368224,0.088469884,0.600841879,0.970980081,0.887022132,0.939167141,0.534307011,0.056664504,0.98031049,0.815941178,0.514999389,0.727490655,0.899490797,0.056431423
BTC,15/01/2020,0.413965426,0.067859866,0.144417995,0.067361086,0.408285741,0.354007935,0.369946408,0.546376303,0.794736241,0.286360104,0.605698753,0.936811936,0.227898221,0.329497357,0.834686818,0.757345175,0.461144984,0.013089252
ETH,15/01/2020,0.641804427,0.707841067,0.676323823,0.128597036,0.881868512,0.061864479,0.041402746,0.527140505,0.626009087,0.476665045,0.766515463,0.82948164,0.637787404,0.39745134,0.888185514,0.804110127,0.002147679,0.001665926
BNB,15/01/2020,0.961685979,0.639038554,0.567835485,0.134117216,0.598046212,0.394280456,0.172272157,0.323014173,0.356464389,0.319380923,0.224299562,0.917800526,0.782711667,0.761615897,0.460998741,0.115160124,0.130466099,0.01315501
ADA,15/01/2020,0.872795717,0.433346693,0.14323706,0.660938338,0.650907447,0.352125691,0.368990625,0.146697167,0.550247833,0.434870896,0.145065916,0.725767393,0.649112697,0.917075171,0.952032788,0.18131297,0.924283034,0.050390513
XRP,15/01/2020,0.206757739,0.379393401,0.853175097,0.132781595,0.364878845,0.705269171,0.947320251,0.179406174,0.551055358,0.926818037,0.8250677,0.421391257,0.098697898,0.251797197,0.236256041,0.660403004,0.285345802,0.01572932
BTC,15/01/2020,0.381462839,0.956245917,0.999500782,0.670884054,0.987479238,0.089032557,0.435243721,0.980276019,0.386805942,0.365778369,0.450645756,0.145834491,0.90443168,0.755117395,0.898939779,0.722340763,0.217389829,0.006605109
ETH,15/01/2020,0.585242604,0.63020706,0.03137386,0.65969783,0.730275149,0.36693577,0.811138199,0.904917951,0.256996234,0.692970714,0.304167756,0.229021759,0.903882462,0.503189518,0.815585809,0.776430286,0.315908397,0.08989539
BNB,15/01/2020,0.471725338,0.797549629,0.213906868,0.5321618,0.120825935,0.109893283,0.659756685,0.725954418,0.240748714,0.611928064,0.595196864,0.618819263,0.217978594,0.444612663,0.491339825,0.163972722,0.843902722,0.086267274
ADA,16/01/2020,0.517680171,0.972459094,0.040296698,0.725975779,0.432840004,0.466065303,0.087262286,0.556092349,0.702558415,0.320290912,0.744039496,0.367387595,0.740866343,0.736352968,0.062274193,0.265821979,0.289180714,0.034051718
XRP,16/01/2020,0.036460507,0.071575452,0.931854151,0.398605922,0.919578596,0.761891082,0.386101773,0.667584159,0.559496223,0.262404853,0.83976922,0.329869812,0.016880787,0.746470474,0.010710813,0.957330866,0.532436956,0.015740528
BTC,16/01/2020,0.235369512,0.108624464,0.461240972,0.994022608,0.045202509,0.970984173,0.434108356,0.377756303,0.260857169,0.814981782,0.040496576,0.580555357,0.438099383,0.120454214,0.387962058,0.02660615,0.548642983,0.010088382
ETH,16/01/2020,0.13821589,0.32234699,0.712728664,0.859823876,0.135135532,0.832003436,0.112415513,0.898502853,0.306437015,0.426148551,0.235948106,0.921412824,0.502884939,0.745473303,0.127401527,0.383856247,0.531101851,0.020440983
BNB,16/01/2020,0.980040747,0.951351727,0.339493101,0.88135311,0.929958327,0.480423714,0.997286926,0.943325262,0.813385335,0.09495449,0.615234628,0.093809291,0.862911521,0.132497518,0.718441652,0.236839832,0.798198089,0.084340459
ADA,16/01/2020,0.698909003,0.908805251,0.772917749,0.74142637,0.379572219,0.97627158,0.538722974,0.198777784,0.156513526,0.582610138,0.491407088,0.729424429,0.056511424,0.968504745,0.196613937,0.264805314,0.420918328,0.050915705
XRP,16/01/2020,0.466805886,0.853607656,0.145932898,0.839124313,0.328629448,0.831423008,0.183676657,0.676264852,0.026618323,0.077197625,0.948316535,0.471386299,0.892516405,0.829106519,0.514307276,0.554804117,0.212617959,0.038281871
BTC,16/01/2020,0.660087874,0.513405326,0.800022272,0.078217259,0.449787137,0.004517868,0.397422249,0.256003567,0.365081794,0.678593673,0.903347128,0.603953657,0.519140953,0.748402284,0.60001302,0.974162697,0.947710913,0.026649864
ETH,16/01/2020,0.750883571,0.392832437,0.677590757,0.590768307,0.74075713,0.878732798,0.004571192,0.95488493,0.997246637,0.490159816,0.635161962,0.319373841,0.256912933,0.538524512,0.815669703,0.387512022,0.923443687,0.070315581
BNB,16/01/2020,0.735208869,0.214222578,0.388592866,0.503275749,0.34816108,0.248034268,0.388995618,0.389048131,0.031003846,0.847916606,0.998425697,0.508586527,0.659540304,0.858209835,0.150309646,0.489805297,0.375179459,0.043398839
ADA,16/01/2020,0.937754759,0.19956064,0.726950344,0.621384943,0.122039783,0.062130836,0.906652509,0.061094703,0.404833474,0.922238424,0.097765597,0.402250653,0.115600751,0.647279728,0.058850771,0.422300073,0.828572547,0.029095454
XRP,16/01/2020,0.4105993,0.643744467,0.153680409,0.030659072,0.569320896,0.112708587,0.521269812,0.045051928,0.46853464,0.615553637,0.43763746,0.362848975,0.56588315,0.007486143,0.722997329,0.537801044,0.088596562,0.067175117
BTC,16/01/2020,0.592741445,0.041866431,0.189886239,0.761749764,0.034853785,0.821489949,0.577437728,0.602607798,0.092144981,0.560232878,0.036740739,0.071035336,0.084469957,0.37944298,0.321988645,0.690266024,0.585072289,0.041840331
ETH,16/01/2020,0.344525527,0.443390239,0.873847397,0.320536925,0.06961099,0.998712765,0.36585436,0.080033621,0.858456384,0.674484232,0.368992611,0.217785736,0.971039245,0.946617216,0.457226904,0.645846714,0.999006487,0.03207053
BNB,16/01/2020,0.636811593,0.448968366,0.305248264,0.008887262,0.970722946,0.512425688,0.066128411,0.780657988,0.12174909,0.624928449,0.674832988,0.634679526,0.900964246,0.35184045,0.185684712,0.676360039,0.850604275,0.077299002
ADA,17/01/2020,0.429295439,0.712901766,0.610656582,0.997581186,0.440289805,0.070483973,0.177035997,0.623363734,0.18046809,0.118544168,0.357138285,0.232030908,0.040401193,0.804823391,0.376754143,0.417594686,0.695846258,0.052408392
XRP,17/01/2020,0.556815665,0.254095174,0.513846203,0.170241544,0.565223912,0.915620154,0.202620491,0.69745818,0.718293041,0.687730655,0.725161009,0.384327481,0.854712495,0.059519567,0.402642307,0.748109226,0.952348675,0.066790514
BTC,17/01/2020,0.651295873,0.563788626,0.954453885,0.944023976,0.294250825,0.266419357,0.680440914,0.039223642,0.242144484,0.700719337,0.165307083,0.948597971,0.768474881,0.403645907,0.727033241,0.829707742,0.086433275,0.07554563
ETH,17/01/2020,0.16642523,0.507228154,0.292190579,0.346856707,0.805556194,0.508034414,0.635583814,0.073043275,0.809005888,0.455691831,0.117312847,0.815422392,0.999408735,0.106492504,0.927668808,0.446179964,0.917112126,0.048772007
BNB,17/01/2020,0.911397722,0.501489292,0.830091912,0.738599421,0.205558777,0.491426548,0.558818406,0.379480395,0.228017806,0.816359082,0.474578022,0.044208971,0.524197535,0.128971217,0.795029206,0.104253769,0.069179049,0.086701082
ADA,17/01/2020,0.566082294,0.263312817,0.923516732,0.237883741,0.75604566,0.221488097,0.769066285,0.78046643,0.943373174,0.502558378,0.659888976,0.384387205,0.631681741,0.024531182,0.388212678,0.066262562,0.704498926,0.057297876
XRP,17/01/2020,0.279738156,0.174764117,0.455095267,0.948640077,0.610721453,0.547457561,0.010234912,0.04300565,0.682298699,0.048257105,0.814749622,0.950286019,0.249994713,0.486322752,0.039087029,0.69084866,0.763454357,0.047172953
BTC,17/01/2020,0.172099401,0.448102721,0.232173741,0.614651317,0.232719448,0.734498812,0.996440494,0.607495504,0.589251438,0.042515812,0.154724724,0.810121742,0.977455553,0.346737269,0.419361282,0.452938553,0.181156401,0.023663377
ETH,17/01/2020,0.092532118,0.21019964,0.808321409,0.175780465,0.755646537,0.934675307,0.055479032,0.269930305,0.205656986,0.389990024,0.598081276,0.502874629,0.075852908,0.34180021,0.740080067,0.026862657,0.035745807,0.027327895
BNB,17/01/2020,0.365980884,0.834307959,0.660435132,0.250679818,0.716287526,0.56531818,0.697447364,0.187763289,0.368921479,0.081933424,0.014353783,0.891351511,0.259376461,0.165956349,0.839998789,0.937038675,0.108675247,0.019392038
ADA,17/01/2020,0.950228506,0.532725818,0.854953173,0.008067275,0.08974691,0.687974018,0.931658715,0.336439255,0.922566538,0.947703489,0.718492295,0.84297313,0.80042953,0.89705713,0.456890366,0.644116094,0.453730482,0.037671012
XRP,17/01/2020,0.012021493,0.130250188,0.198398372,0.821727785,0.540957244,0.435240178,0.893872995,0.051937702,0.464924983,0.845519355,0.407006332,0.889300904,0.17439537,0.374775713,0.656728221,0.942949146,0.654875612,0.058502008
BTC,17/01/2020,0.422681873,0.727065209,0.427258916,0.581139589,0.401291453,0.957667247,0.753331453,0.126705646,0.292964553,0.391792641,0.250453408,0.800356883,0.59044684,0.557680784,0.760440436,0.469109446,0.632557778,0.054797512
ETH,17/01/2020,0.805451882,0.702009267,0.603007318,0.157073722,0.183058369,0.432688941,0.318246528,0.486902465,0.154618154,0.724424392,0.122935403,0.554692555,0.716056573,0.860640257,0.589729206,0.689804981,0.619779654,0.065867628
BNB,17/01/2020,0.658931095,0.285589714,0.855678292,0.05521643,0.53685679,0.374537567,0.720402703,0.726941781,0.644878881,0.01933245,0.02288997,0.358895431,0.086524088,0.358698465,0.372817639,0.030709068,0.694654237,0.043538205
ADA,17/01/2020,0.176768698,0.987357122,0.570429529,0.543939093,0.815718125,0.435486757,0.069276636,0.350997319,0.591610596,0.088068481,0.238864955,0.155267833,0.559840823,0.324810558,0.17764546,0.17571034,0.454935322,0.020808006
XRP,17/01/2020,0.324544216,0.717262699,0.366960329,0.02619087,0.794918714,0.977147931,0.859983441,0.709543684,0.881535312,0.374655046,0.122959567,0.526150377,0.918127704,0.92153024,0.406118,0.284892399,0.766065205,0.052988798
BTC,17/01/2020,0.993008584,0.327397596,0.900760031,0.372047796,0.060941064,0.430983053,0.013985066,0.431000898,0.502011483,0.485208257,0.941212729,0.806367006,0.169052455,0.515068167,0.362244374,0.445971814,0.69265038,0.000754369
